id,article_id,paragraph_number,chapeau,content_full,metadata,created_at,updated_at
0660ba91-759f-4b36-95ab-a4a1c2b0213a,11491988-9619-4719-b1ce-e10d2c527e9e,5,"The electronic health data access services and the proxy services shall be easily accessible for persons with disabilities, vulnerable groups and persons with low digital literacy. Right of natural persons to insert information in their own EHR","The electronic health data access services and the proxy services shall be easily accessible for persons with disabilities, vulnerable groups and persons with low digital literacy. Right of natural persons to insert information in their own EHR",,2025-01-01 22:47:36.546752+00,2025-01-01 22:47:36.546752+00
08043aa1-e9a0-47dc-96e8-dfcbad428d7f,fd1dddfd-0602-4c9f-af3f-31343d37d758,2,"The dataset descriptions in the national dataset catalogue shall be available in at least one official language of the Union. The dataset catalogue for Union institutions, bodies, offices and agencies provided by the Union health data access service shall be available in all official languages of the Union.","The dataset descriptions in the national dataset catalogue shall be available in at least one official language of the Union. The dataset catalogue for Union institutions, bodies, offices and agencies provided by the Union health data access service shall be available in all official languages of the Union.",,2025-01-01 22:50:12.665483+00,2025-01-01 22:50:12.665483+00
0899944f-ff02-4f76-b5f4-3305007db30b,cab6cc2a-1486-48ea-aab3-8bd280aa84da,4,"The EHDS Board may invite national authorities, experts and observers as well as Union institutions, bodies, offices and agencies, in addition to those referred to in paragraph 3, and research infrastructures and other similar infrastructures to attend its meetings.","The EHDS Board may invite national authorities, experts and observers as well as Union institutions, bodies, offices and agencies, in addition to those referred to in paragraph 3, and research infrastructures and other similar infrastructures to attend its meetings.",,2025-01-01 22:50:30.962054+00,2025-01-01 22:50:30.962054+00
08f1f8cb-86d4-4502-8b80-f5e7b98d5a52,46b4ef88-e3b1-4de9-880e-3180cd18b47c,2,The EHDS Board shall have the following tasks related to secondary use in accordance with Chapter IV,"The EHDS Board shall have the following tasks related to secondary use in accordance with Chapter IV assisting Member States in coordinating practices of health data access bodies in the implementation of provisions set out in Chapter IV, to ensure a consistent application of this Regulation; issuing written contributions and exchanging best practices on matters related to the coordination of the implementation at Member State level of this Regulation and of the delegated and implementing acts adopted pursuant to it, in particular as regards: creating, in consultation and cooperation with relevant stakeholders, including representatives of patients, health professionals and researchers, guidelines in order to help health data users to fulfil their duties under Article 61(5), and in particular to determine whether their findings are clinically significant; facilitating cooperation between health data access bodies through capacity building, establishing the framework for activity-reporting referred to in Article 59(1), and the exchange of information; sharing information concerning risks and incidents related to secondary use, as well as the handling of such risks and incidents; facilitating the exchange of views on secondary use with the stakeholder forum referred to in Article 93, as well as with health data holders, health data users, regulators and policy makers in the health sector.",,2025-01-01 22:50:36.834615+00,2025-01-01 22:50:36.834615+00
0934d6ff-e879-477c-8ba7-2fc4285d4213,1e34b7de-f8b3-4345-b56e-1e0fed3f38d1,2,"Each Member State shall designate one national contact point for digital health, as an organisational and technical gateway for the provision of services linked to the cross-border exchange of personal electronic health data in the context of primary use. Each national contact point for digital health shall be connected to all other national contact points for digital health in other Member States and to the central interoperability platform for digital health in the cross-border infrastructure MyHealth@EU. Where a national contact point for digital health is an entity consisting of multiple organisations responsible for implementing different services, the Member State concerned shall communicate to the Commission a description of the distribution of tasks between the organisations. Each Member State shall inform the Commission of the identity of its national contact point for digital health by ... [the date of entry into force of this Regulation + 24 months]. The national contact point for digital health may be designated within the digital health authority referred to in Article 19. Member States shall inform the Commission of any subsequent modification of the identity of those national contact points for digital health. The Commission and the Member States shall make that information publicly available.","Each Member State shall designate one national contact point for digital health, as an organisational and technical gateway for the provision of services linked to the cross-border exchange of personal electronic health data in the context of primary use. Each national contact point for digital health shall be connected to all other national contact points for digital health in other Member States and to the central interoperability platform for digital health in the cross-border infrastructure MyHealth@EU. Where a national contact point for digital health is an entity consisting of multiple organisations responsible for implementing different services, the Member State concerned shall communicate to the Commission a description of the distribution of tasks between the organisations. Each Member State shall inform the Commission of the identity of its national contact point for digital health by ... [the date of entry into force of this Regulation + 24 months]. The national contact point for digital health may be designated within the digital health authority referred to in Article 19. Member States shall inform the Commission of any subsequent modification of the identity of those national contact points for digital health. The Commission and the Member States shall make that information publicly available.",,2025-01-01 22:48:01.396822+00,2025-01-01 22:48:01.396822+00
097c8823-9639-454b-84d9-a4db1fa5329a,7c189853-9cca-4a10-b0de-a467f19be1c8,main,"healthcare provider for making personal electronic health data available. A healthcare provider or a third party shall not directly or indirectly charge data subjects a fee or costs, or require compensation, for sharing or accessing data. Section 2 Governance for primary use","healthcare provider for making personal electronic health data available. A healthcare provider or a third party shall not directly or indirectly charge data subjects a fee or costs, or require compensation, for sharing or accessing data. Section 2 Governance for primary use",,2025-01-01 22:47:52.866634+00,2025-01-01 22:47:52.866634+00
0a88d975-857e-4e22-b079-46e484005fb2,7321eadb-b1be-4743-8499-a816e9dfd004,main,"Member States shall lay down the rules on penalties applicable to infringements of this Regulation, in particular for infringements which are not subject to administrative fines pursuant to Articles 63 and 64, and shall take all measures necessary to ensure that they are implemented. The penalties provided for shall be effective, proportionate and dissuasive. Member States shall, by ... [the date of entry into force of this Regulation + 24 months], notify the Commission of those rules and of those measures and shall notify it, without delay, of any subsequent amendment affecting them. Member States shall take into account the following non-exhaustive and indicative criteria for the imposition of penalties for infringements of this Regulation, where appropriate: (a) (b) (c) (d) the nature, gravity, scale and duration of the infringement; any action taken by the infringer to mitigate or remedy the damage caused by the infringement; any previous infringements by the infringer; the financial benefits gained or losses avoided by the infringer due to the infringement, insofar as such benefits or losses can be reliably established; (e) any other aggravating or mitigating factors applicable to the circumstances of the case; (f) the infringer's annual turnover in the Union in the preceding financial year.'","Member States shall lay down the rules on penalties applicable to infringements of this Regulation, in particular for infringements which are not subject to administrative fines pursuant to Articles 63 and 64, and shall take all measures necessary to ensure that they are implemented. The penalties provided for shall be effective, proportionate and dissuasive. Member States shall, by ... [the date of entry into force of this Regulation + 24 months], notify the Commission of those rules and of those measures and shall notify it, without delay, of any subsequent amendment affecting them. Member States shall take into account the following non-exhaustive and indicative criteria for the imposition of penalties for infringements of this Regulation, where appropriate: (a) (b) (c) (d) the nature, gravity, scale and duration of the infringement; any action taken by the infringer to mitigate or remedy the damage caused by the infringement; any previous infringements by the infringer; the financial benefits gained or losses avoided by the infringer due to the infringement, insofar as such benefits or losses can be reliably established; (e) any other aggravating or mitigating factors applicable to the circumstances of the case; (f) the infringer's annual turnover in the Union in the preceding financial year.'",,2025-01-01 22:50:47.91053+00,2025-01-01 22:50:47.91053+00
0b9f5e41-15b8-4592-a617-3b9ab9994b55,7cb20a7e-1d08-4786-a8ed-12dcbb535f30,4,"The stakeholder forum may establish standing or temporary subgroups, as appropriate, for the purpose of examining specific questions related to the objectives of this Regulation. The stakeholder forum shall adopt its rules of procedure.","The stakeholder forum may establish standing or temporary subgroups, as appropriate, for the purpose of examining specific questions related to the objectives of this Regulation. The stakeholder forum shall adopt its rules of procedure.",,2025-01-01 22:50:34.179274+00,2025-01-01 22:50:34.179274+00
0bac0cf8-1f35-40a1-82d7-0ceea697c536,475c9d36-a302-425e-85eb-da9d84537593,2,"In the exercise of their tasks, health data access bodies shall","In the exercise of their tasks, health data access bodies shall cooperate with supervisory authorities under Regulation (EU) 2016/679 in relation to personal electronic health data and the EHDS Board; cooperate with all relevant stakeholders, including patient organisations, representatives of natural persons, health professionals, researchers, and ethics committees, where applicable in accordance with Union or national law; cooperate with other national competent bodies, including the national competent authorities supervising data altruism organisations under Regulation (EU) 2022/868, the competent authorities under Regulation (EU) 2023/2854 and the national competent authorities under Regulations (EU) 2017/745, (EU) 2017/746 and (EU) 2024/1689, where relevant.",,2025-01-01 22:49:13.936766+00,2025-01-01 22:49:13.936766+00
0be7952f-ee87-47e6-84de-5aa513a2d4e9,d50c3fe9-34b8-4e08-8cd2-30fa9842e7a4,5,"When handling a health data access application for cross-border access to electronic health data referred to in Article 67(3), health data access bodies and relevant authorised participants in HealthData@EU referred to in Article 75 shall remain responsible for adopting decisions to grant or refuse access to electronic health data within their remit in accordance with this Chapter. The health data access bodies and authorised participants in HealthData@EU concerned shall inform each other of their decisions. They may take that information into consideration when deciding on granting or refusing access to electronic health data. A data permit issued by one health data access body may benefit from mutual recognition by the other health data access bodies.","When handling a health data access application for cross-border access to electronic health data referred to in Article 67(3), health data access bodies and relevant authorised participants in HealthData@EU referred to in Article 75 shall remain responsible for adopting decisions to grant or refuse access to electronic health data within their remit in accordance with this Chapter. The health data access bodies and authorised participants in HealthData@EU concerned shall inform each other of their decisions. They may take that information into consideration when deciding on granting or refusing access to electronic health data. A data permit issued by one health data access body may benefit from mutual recognition by the other health data access bodies.",,2025-01-01 22:49:46.753501+00,2025-01-01 22:49:46.753501+00
0c0bb8de-4f66-421c-9416-0b4cbeaf23a2,adbc6171-0fd8-4d53-a671-08d2fde0631b,4,"Where health data holders and health data users do not agree on the level of the fees within one month of the data permit being issued, the health data access body may set the fees in proportion to the cost of making electronic health data available for secondary use. Where health data holders or health data users disagree with the fee set by the health data access body, they shall have access to dispute settlement bodies in accordance with Article 10 of Regulation (EU) 2023/2854.","Where health data holders and health data users do not agree on the level of the fees within one month of the data permit being issued, the health data access body may set the fees in proportion to the cost of making electronic health data available for secondary use. Where health data holders or health data users disagree with the fee set by the health data access body, they shall have access to dispute settlement bodies in accordance with Article 10 of Regulation (EU) 2023/2854.",,2025-01-01 22:49:27.08839+00,2025-01-01 22:49:27.08839+00
0ecc799e-93dc-415d-bdb4-e3e6603078b0,79456cbb-5118-443f-af22-5b54e3eb2891,1,"Natural persons shall have the right to obtain information, including through automatic notifications, on any access to their personal electronic health data through the health professional access service obtained in the context of healthcare, including access provided in accordance with Article 11(5).","Natural persons shall have the right to obtain information, including through automatic notifications, on any access to their personal electronic health data through the health professional access service obtained in the context of healthcare, including access provided in accordance with Article 11(5).",,2025-01-01 22:47:40.019307+00,2025-01-01 22:47:40.019307+00
1249aaa9-1e27-478d-a41b-a278718c3c8e,781d24d3-0de0-4928-85ed-c1b1c4b90fcb,2,An authorised representative shall perform the tasks specified in the mandate agreed with the manufacturer. The mandate shall allow the authorised representative to do at least the following,"An authorised representative shall perform the tasks specified in the mandate agreed with the manufacturer. The mandate shall allow the authorised representative to do at least the following keep the EU declaration of conformity and the technical documentation referred to in Article 37 at the disposal of market surveillance authorities for the period referred to in Article 30(3); further to a reasoned request from a market surveillance authority, provide authorities of the Member State concerned with a copy of the mandate and all the information and documentation necessary to demonstrate the conformity of an EHR system with the essential requirements laid down in Annex II as well as the common specifications referred to in Article 36; inform without undue delay the manufacturer if the authorised representative has reason to believe that an EHR system is no longer in conformity with the essential requirements laid down in Annex II; inform without undue delay the manufacturer about any complaint received from consumers or professional users; cooperate with the market surveillance authorities, at their request, on any corrective action taken in relation to the EHR systems covered by their mandate; terminate the mandate if the manufacturer does not comply with its obligations under this Regulation; ensure that the technical documentation referred to in Article 37 can be made available to relevant authorities, upon request.",,2025-01-01 22:48:14.582276+00,2025-01-01 22:48:14.582276+00
12aca0b3-c863-4271-854f-65c8ba603bc4,015a81db-7520-467c-8b07-b40e53310585,1,"The CE marking of conformity shall be affixed visibly, legibly and indelibly to the accompanying documents of the EHR system and, where applicable, to the packaging of the EHR system.","The CE marking of conformity shall be affixed visibly, legibly and indelibly to the accompanying documents of the EHR system and, where applicable, to the packaging of the EHR system.",,2025-01-01 22:48:37.318693+00,2025-01-01 22:48:37.318693+00
137920fd-9ffc-40a9-80aa-fa9014eaaef3,d50c3fe9-34b8-4e08-8cd2-30fa9842e7a4,13,"If the data permit needs to be updated, the health data user shall submit a request for an amendment of the data permit.","If the data permit needs to be updated, the health data user shall submit a request for an amendment of the data permit.",,2025-01-01 22:49:50.790242+00,2025-01-01 22:49:50.790242+00
13cc0139-bfe9-473f-83cc-9c1757a69c6f,b368813b-50e9-4095-ac6c-f5a0fbc35e4a,5,"The market surveillance authority shall without undue delay inform the Commission and the market surveillance authorities, or, if applicable, the supervisory authorities under Regulation (EU) 2016/679, of other Member States of the corrective action referred to in paragraph 2. That information shall include all available details, in particular the data necessary for the identification of the EHR system concerned, the origin and the supply chain of the EHR system, the nature of the risk involved and the nature and duration of the national measures taken.","The market surveillance authority shall without undue delay inform the Commission and the market surveillance authorities, or, if applicable, the supervisory authorities under Regulation (EU) 2016/679, of other Member States of the corrective action referred to in paragraph 2. That information shall include all available details, in particular the data necessary for the identification of the EHR system concerned, the origin and the supply chain of the EHR system, the nature of the risk involved and the nature and duration of the national measures taken.",,2025-01-01 22:48:42.726647+00,2025-01-01 22:48:42.726647+00
143b5e9b-46fa-4ffd-9d32-8ef0c631acdf,1ce50ce9-1415-4a05-914c-70cf4eb56868,main,"Natural persons shall have the right to restrict the access of health professionals and healthcare providers to all or parts of their personal electronic health data as referred to in Article 3. When exercising the right referred to in the first paragraph, natural persons shall be made aware that restricting access might impact the provision of healthcare to them. The fact that a natural person has restricted access under the first paragraph shall not be visible to healthcare providers. Member States shall establish the rules and specific safeguards regarding such restriction mechanisms.","Natural persons shall have the right to restrict the access of health professionals and healthcare providers to all or parts of their personal electronic health data as referred to in Article 3. When exercising the right referred to in the first paragraph, natural persons shall be made aware that restricting access might impact the provision of healthcare to them. The fact that a natural person has restricted access under the first paragraph shall not be visible to healthcare providers. Member States shall establish the rules and specific safeguards regarding such restriction mechanisms.",,2025-01-01 22:47:39.485022+00,2025-01-01 22:47:39.485022+00
161ba307-a650-4f9f-8444-b16462756661,475c9d36-a302-425e-85eb-da9d84537593,1,Health data access bodies shall carry out the following tasks,"Health data access bodies shall carry out the following tasks deciding on health data access applications pursuant to Article 67 of this Regulation, authorising and issuing data permits pursuant to Article 68 of this Regulation to access electronic health data falling within their remit for secondary use and deciding on health data requests submitted pursuant to Article 69 of this Regulation in accordance with this Chapter and Chapter II of Regulation (EU) 2022/868, including with regard to: (i) providing access to electronic health data to health data users pursuant to a data permit in a secure processing environment in accordance with Article 73; (ii) monitoring and supervising compliance by health data users and health data holders with the requirements laid down in this Regulation; (iii) requesting electronic health data referred to in Article 51 from relevant health data holders pursuant to a data permit issued or a health data request approved; processing electronic health data referred to in Article 51 such as by receiving, combining, preparing and compiling such data when requested from health data holders and the pseudonymisation or anonymisation of those data; taking all measures necessary to preserve the confidentiality of intellectual property rights, for regulatory data protection and to preserve the confidentiality of trade secrets as provided for in Article 52, taking into account the relevant rights of both the health data holder and health data user; cooperating with and supervising health data holders to ensure the consistent and accurate implementation of the provisions on data quality and utility label in Article 78; maintaining a management system to record and process health data access applications, health data requests, decisions on those applications and requests and the data permits issued and health data requests handled, providing at least information on the name of the health data applicant, the purpose of access, the date of issuance, the duration of the data permit and a description of the health data access application or the health data request; maintaining a public information system to comply with the obligations laid down in Article 58; cooperating at Union and national level to lay down common standards, technical requirements and appropriate measures for accessing electronic health data in a secure processing environment; cooperating at Union and national level and providing advice to the Commission on techniques and best practices for secondary use and the management of electronic health data; (i) facilitating cross-border access to electronic health data for secondary use hosted in other Member States through HealthData@EU referred to in Article 75 and cooperating closely with each other and with the Commission; facilitating cross-border access to electronic health data for secondary use hosted in other Member States through HealthData@EU referred to in Article 75 and cooperating closely with each other and with the Commission; making public, through electronic means: fulfilling obligations towards natural persons pursuant to Article 58; fulfilling any other tasks related to making possible the secondary use of electronic health data in the context of this Regulation. The national dataset catalogue referred to in point (j)(i) of this paragraph shall also be made available to single information points under Article 8 of Regulation (EU) 2022/868.",,2025-01-01 22:49:10.459416+00,2025-01-01 22:49:10.459416+00
17076138-ccd5-4473-b7b3-28c2372ea771,a4da737a-421d-4df0-9854-a2650a3907d7,1,The Commission shall develop a European digital testing environment for the assessment of harmonised software components of EHR systems. The Commission shall make the software supporting the European digital testing environment available as open-source.,The Commission shall develop a European digital testing environment for the assessment of harmonised software components of EHR systems. The Commission shall make the software supporting the European digital testing environment available as open-source.,,2025-01-01 22:48:35.998128+00,2025-01-01 22:48:35.998128+00
17538921-3cde-4659-b720-719fa58d90a9,321e9703-5498-46ff-bdee-0b9ef9d15dc8,1,"In addition to its role in making available electronic health data held by Union institutions, bodies, offices or agencies, in accordance with Article 55, Article 56 and Article 75(2), and its tasks under Chapter III, in particular Article 40, the Commission shall develop, maintain, host and operate the infrastructures and central services required to support the functioning of the EHDS, for all relevant connected entities, by means of","In addition to its role in making available electronic health data held by Union institutions, bodies, offices or agencies, in accordance with Article 55, Article 56 and Article 75(2), and its tasks under Chapter III, in particular Article 40, the Commission shall develop, maintain, host and operate the infrastructures and central services required to support the functioning of the EHDS, for all relevant connected entities, by means of an interoperable, cross-border identification and authentication mechanism for natural persons and health professionals, in accordance with Article 16(3) and (4); the central services and infrastructures for digital health of MyHealth@EU, in accordance with Article 23(1); compliance checks for connecting authorised participants to MyHealth@EU, in accordance with Article 23(9); the supplementary cross-border digital health services and infrastructures referred to in Article 24(1); as part of HealthData@EU, a service to submit health data access applications seeking access to electronic health data held by health data holders in more than one Member State or by other authorised participants in HealthData@EU and to automatically forward the health data access applications to the relevant contact points, in accordance with Article 67(3); the central services and infrastructures of HealthData@EU in accordance with Article 75(7) and (8); a secure processing environment in accordance with Article 75(9), in which health data access bodies can decide to make data available in accordance with Article 68(8); compliance checks for connecting authorised participants to HealthData@EU, in accordance with Article 75(5); (i) a federated EU dataset catalogue connecting the national dataset catalogues, in accordance with Article 79; a federated EU dataset catalogue connecting the national dataset catalogues, in accordance with Article 79; a secretariat for the EHDS Board, in accordance with Article 92(9); a secretariat for the steering groups, in accordance with Article 95(8).",,2025-01-01 22:50:41.352226+00,2025-01-01 22:50:41.352226+00
191e6dce-6a60-4f6f-b9f3-786448ee184a,604a59df-a09b-4b62-9a65-16100cf0996d,7,The market surveillance authorities shall check the compliance of wellness applications with the essential requirements laid down in Annex II.,The market surveillance authorities shall check the compliance of wellness applications with the essential requirements laid down in Annex II.,,2025-01-01 22:48:51.42007+00,2025-01-01 22:48:51.42007+00
1a02c1fa-29c0-4ca2-a9cd-8de914f6289e,4c7ad6e9-88c8-4749-9c08-0182f14ff50b,main,"Where a natural person considers that his or her rights under this Regulation have been infringed, he or she shall have the right to mandate a not-for-profit body, organisation or association, constituted in accordance with national law, having statutory public interest objectives and active in the field of the protection of personal data, to lodge a complaint on his or her behalf or to exercise the rights referred to in Articles 21 and 81.","Where a natural person considers that his or her rights under this Regulation have been infringed, he or she shall have the right to mandate a not-for-profit body, organisation or association, constituted in accordance with national law, having statutory public interest objectives and active in the field of the protection of personal data, to lodge a complaint on his or her behalf or to exercise the rights referred to in Articles 21 and 81.",,2025-01-01 22:50:48.948929+00,2025-01-01 22:50:48.948929+00
1aa534f4-a3a6-4ce7-a41e-1bb71bba0690,a42e6ec4-0d04-4d33-882b-7fbbed05ff45,main,"Natural persons, or their representatives referred to in Article 4(2), shall have the right to insert information in the EHR of those natural persons through electronic health data access services or applications linked to those services as referred to in that Article. That information shall be clearly distinguishable as having been inserted by the natural person or by his or her representative. Natural persons, or their representatives referred to in Article 4(2), shall not be able to directly alter the electronic health data and related information inserted by health professionals.","Natural persons, or their representatives referred to in Article 4(2), shall have the right to insert information in the EHR of those natural persons through electronic health data access services or applications linked to those services as referred to in that Article. That information shall be clearly distinguishable as having been inserted by the natural person or by his or her representative. Natural persons, or their representatives referred to in Article 4(2), shall not be able to directly alter the electronic health data and related information inserted by health professionals.",,2025-01-01 22:47:37.083303+00,2025-01-01 22:47:37.083303+00
1c1d3199-0987-4edf-8bb6-b311a7c2667b,f71bc902-21f2-4374-b2e2-4c5dce2fa78f,2,"Health data holders shall put the requested electronic health data referred to in paragraph 1 at the disposal of the health data access body within a reasonable time and no later than three months from the receipt of the request by the health data access body. In justified cases, the health data access body may extend that period by a maximum of three months.","Health data holders shall put the requested electronic health data referred to in paragraph 1 at the disposal of the health data access body within a reasonable time and no later than three months from the receipt of the request by the health data access body. In justified cases, the health data access body may extend that period by a maximum of three months.",,2025-01-01 22:49:22.952292+00,2025-01-01 22:49:22.952292+00
1d6cedba-84c5-4538-9dc4-c2c10c683e7d,2a18486b-32c4-41f1-839f-7ce453f6a75d,main,"Any natural or legal person that has suffered material or non-material damage as a result of an infringement of this Regulation shall have the right to receive compensation, in accordance with Union and national law.","Any natural or legal person that has suffered material or non-material damage as a result of an infringement of this Regulation shall have the right to receive compensation, in accordance with Union and national law.",,2025-01-01 22:50:48.431386+00,2025-01-01 22:50:48.431386+00
1de826f5-f3dc-4671-aa52-405085e816f7,851f7304-a56f-459e-8a63-b1cc7032b1c8,4,"Digital health authorities in the Member States concerned shall cooperate to handle and resolve complaints related to cross-border exchange of and access to personal electronic health data, including by exchanging all relevant information by electronic means, without undue delay.","Digital health authorities in the Member States concerned shall cooperate to handle and resolve complaints related to cross-border exchange of and access to personal electronic health data, including by exchanging all relevant information by electronic means, without undue delay.",,2025-01-01 22:47:59.778939+00,2025-01-01 22:47:59.778939+00
